"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Jon99Cii",0,-2.6275323786686,0.173,0.667,0
"LysD",0,-2.69497080703663,0.124,0.554,0
"CG12374",0,-2.91196577741744,0.068,0.408,0
"Cp36",0,-1.92204623845494,0.164,0.503,0
"Cp19",0,-1.68754657906869,0.207,0.513,0
"lncRNA:alphagamma-element:CR32865",0,-2.88122125483782,0.225,0.523,0
"Cp15",0,-1.1383150028133,0.568,0.849,0
"Hsp26",0,-1.45248477147896,0.287,0.561,0
"Hsp70Bc",0,-3.17037022482399,0.084,0.352,0
"Hr38",0,-1.82701960200407,0.144,0.385,0
"stv",0,-1.58965593220971,0.459,0.693,0
"CG4291",0,5.50940593391745,0.241,0.01,0
"RpL41",0,-0.96296775750143,0.508,0.737,0
"CG15309",0,-2.38669762945514,0.066,0.285,0
"Cp38",0,-1.81492434840077,0.107,0.323,0
"Jon99Fi",0,-2.23661495502297,0.062,0.262,0
"mwh",0,-2.7179934975715,0.044,0.238,0
"Jon25Biii",0,-4.8807701031009,0.007,0.193,0
"CG11911",0,-3.43514855016686,0.02,0.2,0
"CG10077",0,1.04979996905701,0.727,0.553,0
"Jon99Fii",0,-3.74463918104158,0.012,0.156,0
"CG5830",2.527605555968e-316,1.59013601903099,0.51,0.284,3.14408855106859e-312
"Vm26Aa",2.16695480490614e-309,-1.0739545669965,0.386,0.629,2.69547508182274e-305
"RpLP1",8.81626968269841e-279,-1.07759743524817,0.348,0.572,1.09665578583086e-274
"Yp2",4.22000617567797e-277,-0.945067572476666,0.475,0.688,5.24926568192582e-273
"Hsp70Ab",1.484893650684e-273,-1.8732450408598,0.14,0.329,1.84705921208583e-269
"DnaJ-1",2.06243302360056e-255,-1.32346755765534,0.245,0.454,2.56546043805674e-251
"LysB",2.41994695422359e-238,-2.49323769411818,0.026,0.148,3.01017201635873e-234
"Hsp70Bb",2.34223807525871e-222,-2.48946269991207,0.058,0.195,2.91350994181431e-218
"Yp1",3.4112600866441e-221,-0.785884778820305,0.614,0.79,4.2432664217766e-217
"REPTOR",4.71805469337753e-215,-0.904296779199483,0.472,0.654,5.86878823309231e-211
"Bace",2.98029449412664e-207,-1.54484362405092,0.082,0.232,3.70718832124412e-203
"Jon65Aiv",3.25849357682942e-205,-0.932031723497521,0.318,0.515,4.05324016021811e-201
